"Mean","Standard Deviation","Variance","ZValue","ArraySize","Sample Size","Test Number"
0.888087,3.50742e-08,1.2302e-15,0,277,277,1
0.878444,-4.44378e-09,1.97472e-17,0,617,340,2
0.859198,-2.69538e-08,7.26507e-16,0,973,356,3
0.856395,2.94234e-08,8.65736e-16,0,1337,364,4
0.855718,-9.88633e-08,9.77395e-15,0,1705,368,5
0.854528,-1.05428e-07,1.1115e-14,0,2076,371,6
0.85831,-7.13601e-08,5.09226e-15,0,2449,373,7
0.865037,-8.8763e-08,7.87887e-15,0,2823,374,8
0.861789,-5.76663e-08,3.3254e-15,0,3198,375,9
0.865977,1.05134e-07,1.10531e-14,0,3574,376,10
0.867122,-2.01202e-07,4.0482e-14,0,3951,377,11
0.863216,-1.10202e-07,1.21446e-14,0,4328,377,12
0.866553,-1.8117e-07,3.28225e-14,0,4706,378,13
0.868214,1.93516e-07,3.74484e-14,0,5084,378,14
0.86857,2.83348e-08,8.02863e-16,0,5463,379,15
